 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
439,0.686,208.317,82.202,243,108.285,9.076,108.285
440,1.125,182.977,0,243,11.65,14.905,11.65
441,1.339,202.188,147.477,243,-53.759,17.811,126.241
442,1.339,202.188,147.477,243,-53.759,17.811,126.241
443,0.967,142.137,52.231,243,75.801,12.794,75.801
444,1.339,216.038,156.476,243,-94.362,17.751,85.638
445,1.164,159.444,85.454,243,52.465,15.481,52.465
446,0.641,203.589,148.69,239.826,42.138,8.459,42.138
447,0.641,203.589,148.69,239.826,42.138,8.459,42.138
448,1.046,141.541,75.404,243,50.906,13.9,50.906
449,0.917,181.097,103.713,243,49.014,12.117,49.014
450,0.956,199.076,138.648,243,-90.341,12.65,89.659
451,0.951,199.058,138.437,243,-90.341,12.6,89.659
452,1.102,167.259,52.067,240.353,28.798,14.589,28.798
453,1.012,188.629,67.279,243,78.376,13.434,78.376
454,1.052,204.02,136.112,243,-26.152,13.931,153.848
455,0.844,203.385,115.558,243,-8.076,11.208,171.924
456,1.018,185.327,93.099,243,-61.287,13.472,118.713
457,0.804,204.612,124.878,243,-105.89,10.652,74.11
458,0.72,224.793,197.303,243,-79.574,9.552,100.426
459,0.934,181.016,80.958,242.514,-143.337,12.4,36.663
460,0.821,180.843,91.876,238.975,-130.213,10.858,49.787
461,1.001,197.837,122.634,243,-39.472,13.252,140.528
462,0.934,197.698,120.153,243,-134.021,12.376,45.979
463,0.877,202.93,73.985,243,97.4,11.597,97.4
464,1.029,167.457,105.031,243,-151.742,13.624,28.258
465,0.973,158.274,83.132,241.438,-136.65,12.874,43.35
466,1.018,174.823,63.392,243,-79.439,13.524,100.561
467,1.018,174.823,63.392,243,-79.439,13.524,100.561
468,0.922,207.614,118.413,243,-20.103,12.226,159.897
469,1.322,211.69,167.609,243,39.272,17.523,39.272
470,0.9,211.068,25.032,243,-32.388,11.915,147.612
471,0.844,165.187,34.304,243,5.02,11.145,5.02
472,0.883,191.883,90.087,241.774,-32.161,11.666,147.839
473,0.956,186.911,118.28,243,-45.719,12.658,134.281
474,0.709,196.028,120.737,243,-78.419,9.394,101.581
475,1.102,199.752,132.043,243,-16.026,14.622,163.974
476,0.956,114.795,38.259,241.73,36.529,12.65,36.529
477,1.097,187.379,88.31,243,-28.681,14.545,151.319
478,1.052,136.63,68.296,238.625,-145.109,13.939,34.891
479,0.906,197.454,121.733,243,-56.211,12.009,123.789
480,0.973,167.194,76.559,243,-53.531,12.87,126.469
481,1.041,204.397,112.166,243,-96.203,13.837,83.797
482,0.934,204.545,167.862,243,-75.292,12.394,104.708
483,1.209,222.582,183.511,243,-86.524,16.081,93.476
484,0.714,205.904,20.571,242.69,-93.633,9.472,86.367
485,0.624,210.654,125.69,242.25,104.797,8.258,104.797
486,0.742,224.976,192.333,243,97.883,9.843,97.883
487,0.799,186.725,63.902,243,22.557,10.539,22.557
488,0.692,176.018,74.262,242.674,7.533,9.129,7.533
489,0.951,176.513,70.492,243,-41.86,12.569,138.14
490,0.771,182.908,79.51,243,-38.134,10.214,141.866
491,0.703,180.491,80.479,243,-108.726,9.329,71.274
492,0.844,160.284,52.043,243,47.442,11.183,47.442
493,0.928,200.918,127.036,243,-126.31,12.3,53.69
494,0.81,172.414,81.064,243,-38.472,10.745,141.528
495,0.709,184.756,104.285,243,-19.16,9.377,160.84
496,0.748,218.865,195.222,241.707,-40.98,9.887,139.02
497,0.264,217.233,196.141,240.382,-32.661,3.467,147.339
498,0.771,186.132,154.716,222.19,-118.072,10.2,61.928
499,0.731,193.176,124.374,243,-142.864,9.67,37.136
500,0.776,155.901,83.83,240.635,-28.443,10.247,151.557
501,0.714,201.469,102.81,243,-4.574,9.426,175.426
502,1.198,232.846,218.976,242.87,-73.275,15.866,106.725
503,0.647,188.069,96.932,243,-13.791,8.549,166.209
504,0.776,164.622,83.98,242.544,14.744,10.284,14.744
505,0.585,173.241,106.956,242.714,-54.462,7.742,125.538
506,0.703,212.002,158.688,243,15.499,9.279,15.499
507,0.793,175.768,114.171,243,65.996,10.499,65.996
508,0.641,208.725,0,243,-48.958,8.471,131.042
509,0.692,188.937,121.814,234.878,20.666,9.129,20.666
510,0.534,197.71,146.482,243,-0.61,7.051,179.39
511,0.967,203.972,166.674,229.455,-102.165,12.788,77.835
512,0.866,202.972,194.356,241.559,-85.861,11.478,94.139
513,0.906,157.223,0,213.642,-99.697,12.026,80.303
514,1.069,170.675,1.016,211.131,-53.616,14.161,126.384
515,0.467,173.196,138.498,209.723,37.569,6.131,37.569
516,1.131,196.105,64,228.237,-89.714,15,90.286
517,1.001,161.584,98.981,240.183,56.759,13.285,56.759
518,1.142,177.727,155.422,243,-65.98,15.154,114.02
519,0.709,190.066,174.919,243,-38.517,9.394,141.483
520,0.602,172.606,131.601,236.199,15.35,7.946,15.35
521,0.765,147.025,99.477,233.951,-93.391,10.118,86.609
522,0.585,173.715,124.78,241.886,23.051,7.708,23.051
523,0.765,155.239,117.831,235.146,4.268,10.132,4.268
524,0.737,219.534,186.834,241.863,39.693,9.763,39.693
525,0.821,195.287,142.823,242.156,36.317,10.87,36.317
526,1.018,152.764,59.3,239.089,-69.258,13.53,110.742
527,0.585,178.507,0,238.5,28.566,7.698,28.566
528,0.484,208.084,53.259,243,-98.13,6.371,81.87
529,0.855,200.168,121.569,243,-12.2,11.356,167.8
530,0.939,177.369,88.429,243,104.954,12.468,104.954
531,0.793,202.955,127.612,243,142.556,10.49,142.556
532,0.658,206.296,127.63,243,147.943,8.713,147.943
533,0.951,200.19,106.396,243,120.672,12.622,120.672
534,0.821,207.591,148.509,243,-153.789,10.912,26.211
535,0.821,197.062,113.933,243,-49.741,10.858,130.259
536,0.81,158.666,0,243,-45.282,10.748,134.718
537,1.097,183.741,64.43,243,11.889,14.562,11.889
538,0.844,210.513,125.958,242.771,9.652,11.163,9.652
