 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
317,0.63,172.829,149.147,242.298,-59.744,8.361,120.256
318,0.737,161.337,29.538,237.502,-64.423,9.751,115.577
319,0.782,121.041,76.076,239.202,-57.115,10.332,122.885
320,0.641,200.186,116.474,243,-49.289,8.509,130.711
321,0.872,192.227,63.466,243,-56.104,11.579,123.896
322,0.619,193.675,130.536,243,36.87,8.21,36.87
323,0.787,124.259,95.106,219.106,42.663,10.4,42.663
324,0.787,169.085,100.231,243,42.663,10.4,42.663
325,0.748,114.716,83.033,221.931,-34.531,9.889,145.469
326,0.799,198.298,137.889,243,-92.454,10.558,87.546
327,0.551,164.628,84.516,235.15,-93.54,7.264,86.46
328,0.742,164.455,59.674,229.382,-83.9,9.856,96.1
329,0.624,213.7,118.325,242.451,-87.397,8.257,92.603
330,0.737,186.654,116.858,240.39,-117.35,9.751,62.65
331,0.675,173.254,78.359,243,-116.996,8.944,63.004
332,0.411,228.326,200.333,243,39.401,5.435,39.401
333,0.562,203.146,169.124,234.267,-119.962,7.393,60.038
334,0.591,225.637,194.333,243,-77.293,7.837,102.707
335,0.54,223.721,193.889,242.625,-63.435,7.088,116.565
336,0.737,209.121,161.793,243,-123.079,9.749,56.921
337,0.804,211.759,174.776,243,-119.445,10.636,60.555
338,0.917,213.115,158.183,243,-119.261,12.131,60.739
339,0.872,219.62,184.091,243,-123.071,11.524,56.929
340,0.855,196.935,128.732,242.919,3.434,11.319,3.434
341,0.636,214.247,162.5,243,2.045,8.407,2.045
342,0.917,217.612,175.444,243,0.354,12.15,0.354
343,0.709,211.061,165.314,242.347,12.031,9.366,12.031
344,0.855,222.343,194.073,243,13.109,11.303,13.109
345,0.838,159.472,141.967,171.226,11.689,11.081,11.689
346,0.703,198.932,107.711,243,14.036,9.314,14.036
347,0.804,201.175,114.252,243,14.231,10.672,14.231
348,0.939,190.071,124.13,242.082,16.899,12.433,16.899
349,0.906,175.672,122.283,238.667,-1.432,12.004,178.568
350,0.844,196.816,127.561,242.359,0.385,11.15,0.385
351,0.872,198.679,127,243,-2.231,11.557,177.769
352,0.889,223.376,194.815,243,5.128,11.747,5.128
353,0.658,210.609,168.507,241.572,19.855,8.667,19.855
354,0.658,173.238,141.287,210.575,33.69,8.695,33.69
355,0.506,206.353,169.252,243,39.472,6.639,39.472
356,0.771,212.07,155.059,243,-1.685,10.206,178.315
357,0.844,213.547,176.156,243,-0.385,11.15,179.615
358,0.889,242.846,218.667,243,0,11.8,0
359,0.821,202.623,144.988,242.523,-5.947,10.906,174.053
360,0.849,224.044,186.216,243,-5.711,11.254,174.289
361,0.861,218.768,177.456,243,-16.049,11.394,163.951
362,0.602,210.026,172.414,242.291,-54.525,7.963,125.475
363,0.742,209.166,168.186,243,-52.431,9.841,127.569
364,0.776,199.187,150.667,242.693,-54.219,10.271,125.781
365,0.754,225.257,198.72,243,-16.123,9.952,163.877
366,0.669,214.97,183.297,243,-10.739,8.855,169.261
367,0.996,221.423,191.902,242.611,-3.9,13.231,176.1
368,0.967,221.695,151.333,243,-6.377,12.832,173.623
369,0.782,180.057,123.955,236.682,-5.835,10.353,174.165
370,0.681,202.387,143.896,243,-4.289,9.027,175.711
371,0.748,219.944,173.152,243,-3.468,9.921,176.532
372,0.804,209.902,167.892,242.518,3.652,10.623,3.652
373,0.776,209.744,170.249,243,11.392,10.247,11.392
374,0.855,220.053,180.14,243,-14.128,11.351,165.872
375,0.754,218.163,105.361,242.744,-20.204,9.966,159.796
376,0.922,222.877,195.871,243,-18.877,12.254,161.123
377,0.675,211.01,163.142,243,17.526,8.951,17.526
378,0.433,210.073,178.455,243,21.251,5.729,21.251
379,0.686,220.636,143.301,242.847,-27.626,9.08,152.374
380,0.939,223.822,78.198,243,-27.646,12.457,152.354
381,0.906,210.32,103.466,243,60.876,12.02,60.876
382,0.742,201.509,165.707,241.752,-108.159,9.835,71.841
383,0.894,198.201,177.369,236.317,-73.754,11.834,106.246
384,0.979,227.847,128.354,243,-68.015,13.008,111.985
385,0.793,225.478,136.68,243,82.621,10.537,82.621
386,0.371,213.917,175.598,243,77.471,4.876,77.471
387,0.889,202.013,144.173,243,30.466,11.809,30.466
388,0.906,167.626,61.464,243,40.95,12.013,40.95
389,0.973,218.383,169.667,243,-76.53,12.904,103.47
390,0.799,191.793,72.17,243,-75.174,10.551,104.826
391,0.894,141.276,0,224.77,-66.516,11.824,113.484
392,1.102,228.058,143.308,242.724,-91.469,14.605,88.531
393,0.765,221.78,182.717,242.704,-90.424,10.15,89.576
394,0.636,214.777,43.714,243,88.466,8.404,88.466
395,0.821,226.134,196.288,243,67.684,10.854,67.684
396,0.63,212.418,178.569,243,53.334,8.36,53.334
397,0.804,208.393,90.839,243,-24.944,10.669,155.056
398,0.686,220.121,160.667,242.804,-21.89,9.043,158.11
399,0.602,201.799,150.143,243,36.225,7.94,36.225
400,0.872,208.953,92.926,243,41.572,11.543,41.572
401,0.658,197.31,142.624,243,38.351,8.683,38.351
402,1.024,218.378,170.904,243,-5.711,13.567,174.289
403,0.748,156.427,62.111,243,-98.746,9.914,81.254
404,0.754,183.444,96.122,243,-124.287,10.012,55.713
405,0.771,191.385,119.235,243,-40.556,10.212,139.444
406,1.097,191.293,117.919,243,-33.69,14.561,146.31
407,0.979,208.884,148.536,243,-36.539,12.98,143.461
408,1.057,189.309,156.51,243,-33.86,14.007,146.14
409,1.029,193.091,144.46,242.356,-40.533,13.618,139.467
410,0.641,210.001,124.126,243,-35.952,8.451,144.048
411,0.624,182.82,135.028,243,-38.333,8.223,141.667
412,0.883,171.903,104,243,38.774,11.736,38.774
413,0.844,196.799,122.649,243,38.72,11.174,38.72
414,0.962,215.309,169.686,243,-88.989,12.752,91.011
415,0.917,206.348,156.835,243,70.442,12.115,70.442
416,0.866,196.29,125.907,242.74,-14.763,11.473,165.237
417,0.748,209.75,161.331,243,36.697,9.93,36.697
418,0.45,217.37,193.067,243,-46.023,5.94,133.977
419,0.911,190.584,111.454,243,30.052,12.1,30.052
420,0.844,191.12,116.08,243,29.316,11.194,29.316
421,0.821,229.156,207.306,242.88,107.307,10.881,107.307
422,0.922,195.626,138.424,240.496,54.258,12.212,54.258
423,0.844,195.23,107.526,243,-64.636,11.204,115.364
424,0.849,201.756,131.47,243,-12.736,11.221,167.264
425,0.877,208.271,161.507,243,-67.58,11.616,112.42
426,0.945,213.591,161.667,243,-18.544,12.507,161.456
427,0.883,219.487,174.091,243,-19.014,11.732,160.986
428,0.894,202.145,149.019,243,-17.978,11.875,162.022
429,0.906,185.488,124.102,240.28,53.13,12,53.13
430,1.029,187.04,117.273,243,-21.218,13.631,158.782
431,0.81,194.273,117,242.705,-63.613,10.756,116.387
432,0.906,151.309,60.836,243,6.459,12.026,6.459
433,0.844,184.145,100.917,241.594,11.234,11.159,11.234
434,0.613,188.969,90.833,243,19.44,8.112,19.44
435,0.861,225.14,200.651,240.82,-18.316,11.432,161.684
436,0.782,231.256,212.772,243,-10.491,10.326,169.509
437,0.939,230.1,208.904,243,-10.429,12.446,169.571
438,0.636,194.019,155.18,240.614,51.18,8.394,51.18
439,1.102,193.649,110.272,243,14.893,14.603,14.893
440,0.765,161.855,104.504,221.623,19.109,10.104,19.109
441,0.883,222.592,171.513,243,-88.531,11.705,91.469
442,0.816,151.258,106.837,232.255,51.216,10.815,51.216
443,0.872,121.329,99.554,170.425,35.754,11.543,35.754
444,0.72,205.308,120.988,243,35.066,9.515,35.066
445,0.658,190.811,152.742,241.42,-113.459,8.712,66.541
446,0.658,200.586,159.825,243,-112.353,8.681,67.647
447,0.759,193.013,122.199,243,-10.305,10.013,169.695
