 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
354,0.928,71.059,39.578,213.858,17.103,12.275,17.103
355,1.198,193.417,169.371,232.89,-2.701,15.918,177.299
356,0.771,221.527,194.388,243,-28.644,10.18,151.356
357,1.007,191.852,170.79,238.235,-166.278,13.316,13.722
358,0.962,175.622,158.561,240.089,-169.153,12.728,10.847
359,1.119,206.438,143.667,243,9.941,14.821,9.941
360,0.759,202.233,131.585,242.326,4.728,10.036,4.728
361,0.742,130.289,112.168,174.415,7.017,9.824,7.017
362,0.748,137.7,123.667,150.188,6.911,9.923,6.911
363,0.692,185.592,155.491,227.434,-15.751,9.135,164.249
364,0.624,188.05,173.968,211.638,-16.949,8.223,163.051
365,0.889,202.729,169.582,238.079,-13.948,11.799,166.052
366,0.787,182.013,162.181,228.819,10.342,10.416,10.342
367,0.81,181.435,164.337,223.226,10.916,10.738,10.916
368,0.776,175.5,163.328,196.45,12.619,10.299,12.619
369,0.782,182.162,171.681,214.246,-0.83,10.351,179.17
370,0.709,192.604,149.605,207.285,-2.77,9.359,177.23
371,0.838,191.11,176.112,242.034,5.44,11.095,5.44
372,0.9,179.392,164.675,196.202,-3.599,11.924,176.401
373,0.726,174.48,160,188,-2.684,9.611,177.316
374,0.613,214.378,177.329,243,1.061,8.101,1.061
375,0.714,166.434,151,194.705,12.381,9.426,12.381
376,0.602,200.737,161.973,243,26.323,7.916,26.323
377,0.54,168.93,127.138,231.841,74.055,7.122,74.055
378,0.467,197.953,144.528,239.865,76.64,6.161,76.64
379,0.636,178.86,165.827,238.09,-9.293,8.409,170.707
380,0.765,158.161,138.494,205.374,-9.811,10.094,170.189
381,0.765,143.487,111.138,235.151,16.414,10.11,16.414
382,0.838,141.983,88.667,240.297,71.932,11.1,71.932
383,0.658,208.992,168.098,241.977,3.979,8.671,3.979
384,0.922,216.358,174.391,243,12.414,12.23,12.414
385,0.934,222.22,175.459,243,-10.149,12.339,169.851
386,0.81,225.377,196.26,243,-10.448,10.72,169.552
387,0.669,162.933,99.803,243,-11.689,8.884,168.311
388,0.489,167.358,155.031,176.354,19.069,6.421,19.069
389,0.647,116.996,85.232,234.597,32.433,8.544,32.433
390,0.613,204.304,142.154,243,10.162,8.072,10.162
391,0.613,194.08,104.291,242.221,-81.495,8.132,98.505
392,0.568,200.254,134.437,237.8,-101.535,7.501,78.465
393,0.517,141.023,77.867,220.872,-104.647,6.815,75.353
